"feature_label" "variable"
"523" "V523" "fBodyBodyAccJerkMag-iqr()"
"524" "V524" "fBodyBodyAccJerkMag-entropy()"
"525" "V525" "fBodyBodyAccJerkMag-maxInds"
"526" "V526" "fBodyBodyAccJerkMag-meanFreq()"
"527" "V527" "fBodyBodyAccJerkMag-skewness()"
"528" "V528" "fBodyBodyAccJerkMag-kurtosis()"
"529" "V529" "fBodyBodyGyroMag-mean()"
"530" "V530" "fBodyBodyGyroMag-std()"
"531" "V531" "fBodyBodyGyroMag-mad()"
"532" "V532" "fBodyBodyGyroMag-max()"
"533" "V533" "fBodyBodyGyroMag-min()"
"534" "V534" "fBodyBodyGyroMag-sma()"
"535" "V535" "fBodyBodyGyroMag-energy()"
"536" "V536" "fBodyBodyGyroMag-iqr()"
"537" "V537" "fBodyBodyGyroMag-entropy()"
"538" "V538" "fBodyBodyGyroMag-maxInds"
"539" "V539" "fBodyBodyGyroMag-meanFreq()"
"540" "V540" "fBodyBodyGyroMag-skewness()"
"541" "V541" "fBodyBodyGyroMag-kurtosis()"
"542" "V542" "fBodyBodyGyroJerkMag-mean()"
"543" "V543" "fBodyBodyGyroJerkMag-std()"
"544" "V544" "fBodyBodyGyroJerkMag-mad()"
"545" "V545" "fBodyBodyGyroJerkMag-max()"
"546" "V546" "fBodyBodyGyroJerkMag-min()"
"547" "V547" "fBodyBodyGyroJerkMag-sma()"
"548" "V548" "fBodyBodyGyroJerkMag-energy()"
"549" "V549" "fBodyBodyGyroJerkMag-iqr()"
"550" "V550" "fBodyBodyGyroJerkMag-entropy()"
"551" "V551" "fBodyBodyGyroJerkMag-maxInds"
"552" "V552" "fBodyBodyGyroJerkMag-meanFreq()"
"553" "V553" "fBodyBodyGyroJerkMag-skewness()"
"554" "V554" "fBodyBodyGyroJerkMag-kurtosis()"
"555" "V555" "angle(tBodyAccMean,gravity)"
"556" "V556" "angle(tBodyAccJerkMean),gravityMean)"
"557" "V557" "angle(tBodyGyroMean,gravityMean)"
"558" "V558" "angle(tBodyGyroJerkMean,gravityMean)"
"559" "V559" "angle(X,gravityMean)"
"560" "V560" "angle(Y,gravityMean)"
"561" "V561" "angle(Z,gravityMean)"
